id,tweet_id,text,screen_name,author_id
80,1512174876370501677,"@Drunk_Fields @ZaDariusParody @Robby65650144 Wow, well that makes him good. Vikes are .500 against the Packers last two years. Doesn’t mean they are as good",AZViking7,988937646163476480
81,1512174759273971713,"Local arrest involving fentanyl illustrates danger of drug in area, official says
#LiveOnNews9
FULL STORY: https://t.co/ie5suulBoR
‘The production of counterfeit pills containing fentanyl is one of the greatest threats to face by law enforcement today’ https://t.co/SpoH7C6yWi",WTOV9,28197598
82,1512174743914520577,"China is destroying the USA without firing a single shot !
Just keep feeding them fentanyl !",The_Shadow1938,1158023749045825542
83,1512174740684873735,"@YouFilthyScrub @KaysGramma @RandyWilliams09 @RexChapman Most major pharma companies have been implicated in bad behaviour when it comes to the marketing of new drugs. Purdue took it to a new level with Oxy, and it has cost hundreds of thousands of lives. Oxy could have existed without the harm it has caused. Purdue chose otherwise.",ejpdunphy,127642047
84,1512174725950234630,"Stronger opioid reversal drugs are needed to combat the fentanyl crisis, Narcan developer says https://t.co/UiIHudyoc5",boomerang_38,1963305084
85,1512174703049277448,RT @MFA_China: The #US should permanently schedule fentanyl-related substances as a class and lift the sanctions on #China’s counter-narcot…,Vijay99611168,1388112413673680900
86,1512174702848004096,"L’affaire de l’oxycontin aux usa,un véritable drame,500000 morts, combien de familles détruites ,laboratoire purdue associé à McKinsey , départ années 1996  ces gens sont des assassins sans fois ni lois seul compte 🤑🤑🤑🤑🤑🤑 https://t.co/phIdEV43cQ",NicoleL96635900,1189461676380315649
87,1512174558899576836,"RT @lj_punch: Treatment is difficult to access and for many doesn’t reach as deep of the pain. Missouri''s fentanyl crisis is worsening, but…",thatdnaguy,296624994
88,1512174530764046366,This 45 minute video from the Washington Poison Center + PHSKC is very informative + explains secondhand fentanyl exposure. https://t.co/D5kf5l3tsV,healwa,25107094
89,1512174527605788673,"@guypbenson Of course it''s a publicity stunt! It''s the only way to get the Biden WH to pay attention to the #BidenBorderCrisis. It''s genius in fact! Not one of them give a damn about the open border, fentanyl, cartels, terrorists, etc. Worried more about fake whipping incidents. What a joke!",AnoniMusleeMe,1497246389889376297
90,1512174484681228292,"i slowed down deeply off dem pills, they mixed wit fentanyl 🙅🏽‍♀️",_tinynauti,800047777883426816
91,1512174474048806917,"My daughter died from fentanyl poisoning. Catholic Charities, use your brain. It is NOT compassion to transport illegals.",CaseyMi47562554,1511653521229234182
92,1512174329890488320,fentanyl is the new gateway drug,davdbest,85108045
93,1512174328439210014,"@SpokanePatch Sheesh, and covid killed more cops than anything else, yet all methods at reducing the risks were challenged. 
The DEA is jumping on the bandwagon with the GQP.
Nadine has been pushing the same fear as Cathy about fentanyl. 
They never had similar concerns about Covid.",THC4U2C,49163341
94,1512174225854922776,"RT @ABCLiz: COMING SOON TO SAN FRANCISCO: This billboard calling out the city’s drug crisis

“Famous the world over for our brains, beauty…",ankaraturk,250138810
95,1512174174470504469,@angeIsvice @DoomGrows @DeezInSeven @blxckshxwn @DJCHICHON1 @merakidemoreau @xxsophiexxo … https://t.co/C2vnHyFxms https://t.co/B6S4FP4kV4,grapejellyhater,1345914079072776192
96,1512174142556045324,Not risking a fentanyl overdose but y’all stay safe out there https://t.co/nkwELdnJ6x,dianaarrozito,573259714
97,1512174132598870032,RT @WizMonifaaa: When I got in the accident I told them morphine literally was not strong enough and they asked if I wanted fentanyl. I ain…,ITYS589,1373510713
98,1512174083403919376,Wtf 🥴 &amp; You saying this opposed to a Dispensary?? Where bigger brands are held &amp; go through proper &amp; better procedures growing in order to sell… You really think the streets gone be safer ?? When fucking Fentanyl or something as dangerous is randomly placed in that 8th? https://t.co/mneMSzbQXS,___MisterClutch,1110055751538626562
99,1512174059978690569,@Jscales_23 Shiiiddd you could walk into a chs bathroom and see somebody busting down a oxy or a perc on the sink back in my day🥴🥴🤦🏾‍♂️🤦🏾‍♂️,KeefSweats64,1331973012258746368
100,1512174056233074706,"@med_conscience @BowTiedLoon @DoctorAnarchist Had to biopsy a liver met in a patient in her early 20s last month, newfound recurrent melanoma.  Started crying during procedure.  Plenty of fentanyl and versed onboard, wasn’t the needle.  The enormity of the situation hit her right then.  Broke my heart.",BowTiedGrey,1250945103918587904
101,1512173982015008775,Mother of 13-year-old boy who died of fentanyl overdose raises alarm about fake pills sold on social media https://t.co/V6udLj9TC8,adabagcompany,185115193
102,1512173976562376707,@Chewtoro @copiumwars @Userkkksmith @sopian_oxy @jroq4u,JoaneLaxrsion,1423695774840467457
103,1512173902449061893,"📡 🤬 Signal for $DG/WETH on #Uniswap
Sell volume: +36.69 WETH
Price: 0.00008435 WETH
Last 1h: bought 25.09 WETH, sold 36.78 WETH
Last 24h: bought 36.99 WETH, sold 37.58 WETH
Last 7d: bought 552.16 WETH, sold 587.24 WETH
https://t.co/RhlBKkx5nX",OxyBiz,1085939317313286144
104,1512173894416875521,"@YouFilthyScrub @KaysGramma @RandyWilliams09 @RexChapman I''m glad you''ve had a positive experience with oxycontin. I prescribe it when needed in my practice. My point, that @kaysgramma is desperate to misrepresent, is that the makers of oxy marketed it incorrectly and knowingly contributed to the opiod epidemic.",ejpdunphy,127642047
105,1512173890562371593,@Oxy_Cheshire Ahh hajime is awesomeeee. Need to start watching the new season asap,AshMaosen,795834744
1363,1514783339802103816,@dem0nsupp0rt awwwww cute pic of oxy and a fan !!!,cryptid_bard,931923570707521537
106,1512173887710187529,'Dark reality': More people died from fentanyl last year than COVID-19 in this Bay Area county https://t.co/pV8mF3Us8l via @abc7newsbayarea,alicelilly1,562848986
107,1512173864649990148,"To clarify, bs in your flower doesn’t mean fentanyl. It’s POSSIBLE but very unlikely to happen (I do specifically know 2 unlucky people) 

But with that being said, a lot of trash chemicals get put on street bud to give the illusion of “gas” that’s not good for you at all.",DannyHikari,354972115
108,1512173852922634259,"California drug dealers had enough fentanyl to kill 4.7 million people, DA''s office says https://t.co/Y3S7lfxMAn",NazDreaming,3038178633
109,1512173787877367815,"Treatment is difficult to access and for many doesn’t reach as deep of the pain. Missouri''s fentanyl crisis is worsening, but patients can''t get treatment for substance abuse https://t.co/FAgWiVM4IN @TheT5874Delmar @notheringleader @rayraywino @MdKanika @AddSciMIMH  @helloduello",lj_punch,3438932054
110,1512173784014499843,@PopeyesNFTs @SoulSplicersNFT @Userkkksmith @sopian_oxy @jroq4u,JoaneLaxrsion,1423695774840467457
111,1512173783230070790,"Baseball is back in action and so are the Vikes…

🆚Webster JV
⏰7:00 pm
📍GCS Ballprk https://t.co/VmYWW8HHb7",jeffco_bullpen,1495071339404840962
112,1512173712128327692,"@Pl_OXY I think you have impressive skills both for drawing, paneling, and animating tempo. Either way, you would excel in your deed. I am truly watching your evolution and quality progress in awe and will keep looking forward to whatever you do! 🥰🥰🥰",CptPopcorn,1160215695810093057
113,1512173666821414919,"@RepMcCaul @POTUS Check the date, dopey. 

https://t.co/aPtFUeaokQ",irishkurs,253681859
114,1512173596700987408,@DivineWolves_ @88DynastyNFT @Userkkksmith @sopian_oxy @jroq4u,JoaneLaxrsion,1423695774840467457
115,1512173594301931522,"DEA warns of increase in mass overdose events involving Fentanyl
#Fentanyl #overdose 
https://t.co/v5KYIXET7H",greendailynews,833760307222753280
116,1512173557152952323,"RT @HouseGOP: The #BidenBorderCrisis is allowing record amounts of dangerous fentanyl to be smuggled across our southern border.

Now, the…",FrankMillerIII1,1341630923897495553
117,1512173525733617664,gggg,oxy_genariz,1150051676662857731
118,1512173477574361090,"BC Hydro is doling out more than $12,000 to two local non-profits through its Site C project Generate Opportunities Fund.

#sitec #bchydro #fortstjohn #yxj #church #library https://t.co/WHlMdIURVQ",EnergeticCity,18159134
119,1512173450978332673,"There is disagreement between law enforcement agencies and the medical community on whether or not exposure to fentanyl through the eyes or skin, or by inhalation, can cause overdoses.https://t.co/YfmW8ZQjHc",RichlandSource,1095515318
120,1512173438894370816,"RT @deliasalcido: they really caught 2 guys with over 20lbs of fentanyl in Buena Park. please be safe guys, it’s not worth it.",triguerosbrenda,1544042857
121,1512173406342549511,@terraworldme @HDK_TWD @Userkkksmith @sopian_oxy @jroq4u,JoaneLaxrsion,1423695774840467457
122,1512173374000222215,@CapitalJc Dude $BOIL &amp; $GUSH &amp; $OXY are the heavy gainers in the space!,IrishInvestor,458068232
123,1512173355574644742,@mr_austin2u @angeIsvice @blxckshxwn @DJCHICHON1 @DeezInSeven @merakidemoreau @xxsophiexxo Do you know what fentanyl is?,jaredk34,768880339762675713
124,1512173341129461763,"@Brad_of_Kauai @MysterySolvent When she was in Congress she/pharmaceutical Co. came up with a bill preventing DEA from arresting Pharmaceutical Co. Purdue, MCKesson &amp; AmerisourceBergen distribution of large amounts OxyContin to pain clinics &amp; drug stores especially in rural areas.",PattiR57167178,993617651388776448
125,1512173313082097668,"RT @LAPDCARRANZA: Good Golly Miss Keisa! Must be going for LAPD K9 of the year! 🐾 Back from a day off to help seize 
-78 pounds  of methamp…",cklein60259181,752224328104587264
126,1512173311186272260,"RT @21stCentValue: $BRK Berkshire Hathaway (publicly-disclosed) capital deployed in 2022:

Buybacks - $2 billion
$OXY - $7 billion
$HPQ - $…",scottmcGrenade,3049818947
127,1512173292219682825,@BobHealey4NJ Standard GQP fear mongering. What specific Democrat policies are bringing fentanyl across from Mexico?,BruPans,2245899529
128,1512173285743730711,"RT @AcervoSom: 🔊 o carro da droga vai passando na sua porta

temos maconha 🍁, melei 🍬, cocaína ❄️, temos crack 💣, temos oxy 💊

https://t.co…",xaconha,747676181021990914
129,1512173269557805062,Officials hold news conference on the 'alarming increase' of fentanyl deaths https://t.co/7bLzV6CbBM,MediColorado,94654890
130,1512173264130486278,"🔊 o carro da droga vai passando na sua porta

temos maconha 🍁, melei 🍬, cocaína ❄️, temos crack 💣, temos oxy 💊

https://t.co/ZQkrnGh6yd",AcervoSom,1512113080913874955
131,1512173132055937026,@atWisely @OXY_Crimson Lol I know it’s just a cameo but it’s still funny to me that they run the bit so well and integrate previous things like Da Wobbly,sethlovestotalk,1246902401916735488
132,1512173100493799432,"@oj_shair vikes deserved to lose stefon, i was mad about it too, some birds arent meant to be caged..itll be alright fam",LennyN_21,406800865
133,1512173076997414917,RT @RenardJaune2022: Mosquée antisémite…N’est-ce pas une figure de rhétorique en français ça? Oxy quelque chose…😎,gtrolliet1,1068542249015881728
134,1512173036706971652,@RogueHouSports Hydrocodone. All ready for tomorrow.,baseballbarry2,2371103792
135,1512172955517829133,"NO ONE HAS EVER DIED FROM MARIJUANA 📣📣📣📣📣📣📣
IT IS NOT THE PLANT THAT IS KILLING YALL
People are lacing their edibles and cannabis products with Fentanyl all across the globe just to make an extra $5-10. 
Buy from REPUTABLE brands &amp; stop buying products off the street! https://t.co/o3OUGs6Ih3",candymankingnyc,1354485162650824714
136,1512172935460519937,"RT @sbcountysheriff: Since February 2021, 14 teens in our county have died from fentanyl overdoses. 
Be aware of the dangers and recognize…",SBSOESevetere,1865161878
137,1512172879194083328,"@Pl_OXY Seriously, I only read your comics for the insane plot. You are awesome, brotha!",Malak_Taus,1062140868
138,1512172874806689824,"Everyone, Come join an amazing group of traders 
https://t.co/3vbD4Mdsw5

$EYEN $SAVE $GLD $NIO $AAL $CCL $OXY $JNUG $INO $FSR $LYFT $SLV  $SPY https://t.co/5wZaMBQfZD",Smith28301,1409159987289489412
